id,rank,fund_code,fund_name,date,net_value,accumulated_net_value,daily_growth_rate,weekly_growth_rate,monthly_1_growth_rate,monthly_3_growth_rate,monthly_6_growth_rate,yearly_1_growth_rate,yearly_2_growth_rate,yearly_3_growth_rate,ytd_growth_rate,since_inception_growth_rate,custom_growth_rate,fee_rate,is_checked,update_time
62144,4952,021391,东兴成长优选混合发起C,2026-01-29,1.5685,1.5685,-3.9,-0.44,18.26,6.27,34.3,38.82,,,18.18,56.85,36.8435,0.0,0,2026-01-30 11:46:42
62145,4953,502023,鹏华国证钢铁行业指数(LOF)A,2026-01-29,2.003,1.3735,0.28,2.53,7.19,10.98,13.83,38.82,47.17,28.07,7.16,42.89,40.2366,0.12,0,2026-01-30 11:46:42
62146,4954,005493,鑫元价值精选混合A,2026-01-29,1.4769,1.4769,1.3,2.01,13.84,10.95,20.55,38.81,71.59,40.63,10.75,47.69,37.2201,0.12,0,2026-01-30 11:46:42
62147,4955,730001,方正富邦创新动力混合A,2026-01-29,0.7337,1.4837,-0.27,1.2,20.36,21.29,26.67,38.8,46.04,-10.62,15.42,13.63,33.0372,0.15,0,2026-01-30 11:46:42
62148,4956,006133,万家智造优势混合C,2026-01-29,3.2423,3.7697,-2.1,2.02,19.47,20.43,25.12,38.79,73.78,20.86,19.89,277.5,36.5696,0.0,0,2026-01-30 11:46:42
62149,4957,018363,东方阿尔法瑞丰混合发起C,2026-01-29,1.2102,1.2102,-0.34,8.87,27.75,12.99,11.66,38.77,48.27,,22.4,21.02,36.054,0.0,0,2026-01-30 11:46:42
62150,4958,002891,华夏移动互联混合人民币,2026-01-28,1.865,1.865,1.97,4.13,10.68,14.0,35.44,38.76,50.52,-1.58,13.03,86.5,,0.15,0,2026-01-30 11:46:42
62151,4959,010108,景顺长城核心招景混合A,2026-01-29,0.9215,0.9215,-0.36,5.66,14.77,10.49,23.94,38.76,58.33,21.86,15.43,-7.85,37.5578,0.15,0,2026-01-30 11:46:42
62152,4960,016634,富国中证1000ETF联接C,2026-01-29,1.1911,1.1911,-0.76,0.19,8.78,9.14,21.11,38.76,51.89,18.14,8.76,19.11,38.0505,0.0,0,2026-01-30 11:46:42
62153,4961,018660,中科沃土转型升级混合C,2026-01-29,1.3392,1.3392,-1.44,-2.4,2.81,1.86,36.85,38.76,75.13,,3.27,37.23,41.3553,0.0,0,2026-01-30 11:46:42
62154,4962,021690,招商资管北证50成份指数发起A,2026-01-29,1.1753,1.1753,-1.6,0.27,4.81,-2.43,3.79,38.76,,,5.92,17.53,37.2533,0.12,0,2026-01-30 11:46:42
62155,4963,400011,东方核心动力混合A,2026-01-29,1.7425,2.3795,-0.15,1.79,6.81,8.24,28.97,38.75,58.42,39.98,6.86,181.78,41.3908,0.15,0,2026-01-30 11:46:42
62156,4964,202025,南方上证380ETF联接A,2026-01-29,2.5498,2.5498,-0.77,1.53,11.99,10.77,24.24,38.75,56.62,30.87,11.61,154.98,39.6309,0.12,0,2026-01-30 11:46:42
62157,4965,007811,淳厚信泽混合A,2026-01-29,2.6068,2.6068,-1.97,1.89,20.43,12.67,19.22,38.75,78.9,52.27,20.83,160.68,40.3316,0.12,0,2026-01-30 11:46:42
62158,4966,021299,中欧北证50成份指数发起C,2026-01-29,2.0798,2.0798,-1.6,0.29,5.04,-2.63,3.91,38.75,,,6.15,107.98,37.2715,0.0,0,2026-01-30 11:46:42
62159,4967,005055,华泰柏瑞量化阿尔法A,2026-01-29,1.9258,1.9258,-0.51,-1.61,8.63,10.3,24.25,38.74,62.67,33.63,8.89,92.58,40.2213,0.15,0,2026-01-30 11:46:42
62160,4968,016515,申万菱信智能生活量化选股混合型发起式A,2026-01-29,1.6284,1.6284,-0.48,-1.42,8.29,5.8,14.38,38.74,75.97,,7.49,62.84,37.3829,0.15,0,2026-01-30 11:46:42
62161,4969,519021,国泰金鼎价值混合,2026-01-29,0.437,2.783,-0.23,3.8,15.92,13.51,28.91,38.73,48.64,4.8,15.3,115.48,39.172,0.15,0,2026-01-30 11:46:42
62162,4970,001724,申万菱信多策略灵活配置混合C,2026-01-29,2.325,2.431,1.35,0.39,5.59,3.61,8.29,38.72,102.35,61.91,5.25,150.63,33.5439,0.0,0,2026-01-30 11:46:42
62163,4971,012631,中银优选灵活配置混合C,2026-01-29,1.2765,1.8418,-1.14,-0.3,6.23,9.09,25.9,38.7,56.76,14.27,6.45,28.34,39.5234,0.0,0,2026-01-30 11:46:42
62164,4972,021172,华安北证50成份指数发起式A,2026-01-29,2.078,2.078,-1.61,0.32,5.07,-2.56,3.42,38.7,,,6.18,107.8,37.1889,0.06,0,2026-01-30 11:46:42
62165,4973,018120,万家北证50成份指数发起式A,2026-01-29,1.5779,1.5779,-1.6,0.34,5.02,-2.28,3.82,38.69,62.96,,6.13,57.79,37.1968,0.12,0,2026-01-30 11:46:42
62166,4974,003877,富国久利稳健配置混合A,2026-01-29,1.3644,1.7364,-0.07,0.59,4.33,4.88,8.04,38.68,74.01,60.26,4.31,87.46,37.7555,0.08,0,2026-01-30 11:46:42
62167,4975,019370,富国久利稳健配置混合E,2026-01-29,1.3641,1.5441,-0.07,0.59,4.33,4.88,8.03,38.68,73.97,,4.31,61.74,37.7532,0.0,0,2026-01-30 11:46:42
62168,4976,005612,嘉实核心优势股票发起式,2026-01-29,1.9793,1.9793,1.07,3.28,9.19,9.83,18.1,38.67,71.15,27.91,8.35,97.93,39.0348,0.15,0,2026-01-30 11:46:42
62169,4977,010629,广发可转债债券E,2026-01-29,2.1552,2.1552,-1.08,0.54,10.0,9.85,26.12,38.67,58.14,35.3,9.94,54.91,38.2425,0.0,0,2026-01-30 11:46:42
62170,4978,012810,鹏华国证钢铁行业指数(LOF)C,2026-01-29,1.0983,1.0983,0.28,2.53,7.18,10.95,13.77,38.67,46.83,27.71,7.16,9.83,40.1072,0.0,0,2026-01-30 11:46:42
62171,4979,014299,宏利先进制造股票A,2026-01-29,1.1994,1.1994,-4.27,-4.08,10.2,4.33,36.89,38.67,96.17,31.56,9.43,19.94,41.7563,0.15,0,2026-01-30 11:46:42
62172,4980,005276,中欧创新成长灵活配置混合C,2026-01-29,1.9489,1.9489,-0.03,3.23,9.8,5.03,15.53,38.66,79.49,27.93,10.06,94.89,35.8781,0.0,0,2026-01-30 11:46:42
62173,4981,013285,上银价值增长3个月持有期混合C,2026-01-29,1.4138,1.4138,-0.71,0.66,10.68,18.54,34.14,38.66,55.57,39.14,9.8,41.38,40.1467,0.0,0,2026-01-30 11:46:42
62174,4982,014986,东方核心动力混合C,2026-01-29,1.7266,2.0866,-0.15,1.79,6.81,8.24,28.96,38.66,57.69,38.78,6.85,30.21,41.3161,0.0,0,2026-01-30 11:46:42
62175,4983,013774,易方达趋势优选混合A,2026-01-29,1.0556,1.0556,-3.4,-3.65,-1.44,-5.31,23.51,38.66,66.11,18.1,0.57,5.56,40.6529,0.15,0,2026-01-30 11:46:42
62176,4984,019494,易方达央企科技50ETF联接C,2026-01-29,1.4691,1.4691,-2.01,-3.86,11.19,7.18,20.88,38.65,,,10.12,46.91,37.2093,0.0,0,2026-01-30 11:46:42
62177,4985,020511,金鹰科技致远混合C,2026-01-29,1.9389,1.9389,0.09,-1.52,12.32,5.51,16.63,38.65,,,11.6,93.89,35.1527,0.0,0,2026-01-30 11:46:42
62178,4986,011474,工银信息产业混合C,2026-01-29,4.069,4.069,-1.36,0.59,4.17,4.04,30.04,38.64,55.72,1.9,5.39,-12.02,40.1171,0.0,0,2026-01-30 11:46:42
62179,4987,014708,天弘臻选健康混合A,2026-01-29,1.2468,1.2468,-0.12,-2.89,4.64,-3.75,-3.95,38.64,38.04,4.59,6.06,24.68,38.1496,0.12,0,2026-01-30 11:46:42
62180,4988,018650,光大保德信国企改革股票C,2026-01-29,1.812,1.812,-0.28,4.08,14.97,13.89,33.33,38.64,56.61,,13.82,26.45,38.3206,0.0,0,2026-01-30 11:46:42
62181,4989,021524,天弘匠心臻选混合发起A,2026-01-29,1.414,1.414,-0.9,1.06,6.31,0.44,13.65,38.64,,,6.7,41.4,38.5052,0.15,0,2026-01-30 11:46:42
62182,4990,162204,宏利行业精选混合A,2026-01-29,9.5835,11.3885,-0.61,-0.85,5.73,6.41,25.72,38.63,57.18,22.48,5.44,1565.17,40.208,0.15,0,2026-01-30 11:46:42
62183,4991,673110,西部利得新润混合A,2026-01-29,2.189,2.279,-0.64,0.05,4.69,6.83,18.58,38.63,78.11,34.62,4.14,135.44,37.9332,0.12,0,2026-01-30 11:46:42
62184,4992,020903,广发中证工程机械ETF发起式联接A,2026-01-29,1.5341,1.5341,-0.87,-0.65,7.2,11.74,20.06,38.63,,,6.26,53.41,41.1575,0.12,0,2026-01-30 11:46:42
62185,4993,000480,东方红新动力混合A,2026-01-29,6.278,6.366,-0.32,0.51,8.22,7.68,21.48,38.62,72.33,59.7,8.17,568.3,38.6484,0.15,0,2026-01-30 11:46:42
62186,4994,001656,农银中国优势灵活配置混合,2026-01-29,2.4814,2.4814,-0.39,0.43,9.58,8.05,33.15,38.62,46.16,9.96,9.21,148.14,40.9086,0.15,0,2026-01-30 11:46:42
62187,4995,011651,招商港股通核心精选股票A,2026-01-29,1.0064,1.0064,0.43,5.86,13.59,7.36,10.69,38.62,74.57,21.77,14.89,0.64,33.7942,0.15,0,2026-01-30 11:46:42
62188,4996,001071,华安媒体互联网混合A,2026-01-29,4.211,4.211,0.48,0.21,6.34,0.55,22.7,38.61,85.75,41.21,5.35,321.1,38.6566,0.15,0,2026-01-30 11:46:42
62189,4997,004812,中欧先进制造股票A,2026-01-29,2.9063,2.9063,-1.98,-1.66,0.9,-6.68,28.17,38.61,61.03,1.27,1.39,190.63,38.3096,0.15,0,2026-01-30 11:46:42
62190,4998,014917,汇丰晋信时代先锋混合A,2026-01-29,0.9204,0.9204,0.33,4.86,6.56,-4.1,8.97,38.61,46.23,-12.15,9.48,-7.96,36.8828,0.15,0,2026-01-30 11:46:42
62191,4999,006106,景顺长城量化港股通股票A,2026-01-29,1.2938,1.2938,0.58,3.89,8.37,4.49,9.57,38.6,69.12,40.16,8.56,29.38,36.4768,0.15,0,2026-01-30 11:46:42
62192,5000,011902,南方竞争优势混合C,2026-01-29,1.1821,1.1821,-0.74,1.49,10.05,9.34,24.03,38.6,58.31,18.7,10.48,18.21,39.8273,0.0,0,2026-01-30 11:46:42
62193,5001,018872,银河量化优选混合C,2026-01-29,2.6529,2.6529,-0.91,-1.7,7.03,11.18,21.88,38.6,68.96,,6.82,51.76,36.7192,0.0,0,2026-01-30 11:46:42
62194,5002,005262,鑫元欣享灵活配置混合A,2026-01-29,1.4618,1.9328,-1.47,-3.22,3.59,3.02,24.58,38.59,64.9,12.74,3.22,111.54,40.4362,0.12,0,2026-01-30 11:46:42
62195,5003,005651,万家量化同顺多策略混合C,2026-01-29,1.6901,1.6901,-1.47,-0.09,10.14,11.65,21.78,38.58,58.16,45.38,10.8,69.01,39.7008,0.0,0,2026-01-30 11:46:42
62196,5004,008372,富国阿尔法两年持有期混合,2026-01-29,1.9612,1.9612,-1.02,4.97,9.3,2.25,9.7,38.58,43.2,24.9,10.09,96.12,39.2008,0.15,0,2026-01-30 11:46:42
62197,5005,160634,鹏华中证环保产业指数(LOF)A,2026-01-29,1.3476,0.9807,-0.99,-0.16,1.8,-1.74,28.29,38.57,48.09,-7.89,3.07,2.68,39.4454,0.12,0,2026-01-30 11:46:42
62198,5006,016219,华夏聚锐优选三个月持有混合(FOF)A,2026-01-27,1.324,1.324,0.25,1.88,6.21,7.82,20.1,38.57,58.09,,7.06,32.4,,0.12,0,2026-01-30 11:46:42
62199,5007,009273,融通中国风1号灵活配置混合C,2026-01-29,2.523,2.523,0.36,-0.12,8.89,4.39,24.59,38.55,41.19,-3.04,8.89,28.66,42.3012,0.0,0,2026-01-30 11:46:42
62200,5008,501006,汇添富中证精准医疗指数(LOF)C,2026-01-29,0.9868,0.9868,0.08,-0.77,5.25,-1.36,-5.44,38.54,36.52,-14.21,6.6,-1.32,36.1667,0.0,0,2026-01-30 11:46:42
62201,5009,001679,前海开源中国稀缺资产混合A,2026-01-29,2.035,2.035,2.06,9.76,17.22,18.11,35.13,38.53,42.91,-4.77,16.22,103.5,40.3448,0.15,0,2026-01-30 11:46:42
62202,5010,014264,鑫元长三角混合C,2026-01-29,1.2807,1.2807,-0.79,-0.73,8.87,10.09,25.36,38.53,47.97,-3.92,8.84,28.07,40.443,0.0,0,2026-01-30 11:46:42
62203,5011,019744,银华富兴央企混合发起式C,2026-01-29,1.4139,1.4139,0.98,2.34,9.45,10.26,20.98,38.52,,,8.96,41.39,39.1086,0.0,0,2026-01-30 11:46:42
62204,5012,001064,广发中证环保ETF联接A,2026-01-29,0.9632,0.9632,-0.99,-0.13,1.89,-1.44,28.87,38.51,46.56,-9.27,3.12,-3.68,39.372,0.12,0,2026-01-30 11:46:42
62205,5013,011824,浙商汇金量化臻选股票A,2026-01-29,1.2699,1.2699,-0.74,0.44,8.81,6.53,17.25,38.51,74.56,46.91,8.65,26.99,38.4087,0.15,0,2026-01-30 11:46:42
62206,5014,004235,中欧价值智选混合C,2026-01-29,4.94,4.94,0.73,0.55,-0.11,-1.94,15.33,38.5,80.41,8.58,-0.02,184.43,39.1549,0.0,0,2026-01-30 11:46:42
62207,5015,519223,海富通欣荣混合C,2026-01-29,1.5787,1.8946,-0.21,1.19,6.86,7.36,26.31,38.48,54.41,22.95,6.75,98.5,40.055,0.0,0,2026-01-30 11:46:42
62208,5016,010419,申万菱信中证环保产业指数(LOF)C,2026-01-29,1.294,1.294,-0.97,-0.12,1.96,-1.18,28.64,38.48,46.15,-10.45,3.11,29.4,39.3796,0.0,0,2026-01-30 11:46:42
62209,5017,010723,中欧价值成长混合A,2026-01-29,0.8685,0.8685,-0.14,0.31,4.59,4.25,21.69,38.47,52.74,13.96,4.68,-13.15,38.5831,0.15,0,2026-01-30 11:46:42
62210,5018,019008,东方红远见领航混合发起A,2026-01-29,1.3175,1.3175,-1.01,-1.07,7.46,6.87,20.69,38.47,41.62,,7.46,31.75,38.4801,0.15,0,2026-01-30 11:46:42
62211,5019,011758,广发逆向策略混合C,2026-01-29,3.8595,3.8595,0.43,5.01,13.76,16.34,34.45,38.45,48.59,22.16,11.9,19.35,39.4278,0.0,0,2026-01-30 11:46:42
62212,5020,015891,富国上证50基本面精选股票发起式A,2026-01-29,1.3358,1.3358,0.94,4.08,9.54,8.71,26.48,38.45,60.61,22.58,8.64,33.58,40.9815,0.15,0,2026-01-30 11:46:42
62213,5021,202105,南方广利回报债券A/B,2026-01-29,2.1066,2.4386,-1.32,-0.25,7.48,10.71,23.14,38.44,54.33,35.91,7.8,166.1,38.3282,0.08,0,2026-01-30 11:46:42
62214,5022,017505,明亚中证1000指数增强A,2026-01-29,1.3227,1.3227,-0.7,-0.35,7.98,6.02,15.53,38.43,56.92,,7.71,32.27,38.1699,0.12,0,2026-01-30 11:46:42
62215,5023,017524,南方北证50成份指数发起C,2026-01-29,1.3969,1.3969,-1.61,0.35,5.04,-2.59,3.69,38.42,63.17,39.54,6.16,39.69,36.8973,0.0,0,2026-01-30 11:46:42
62216,5024,160646,鹏华中证沪港深科技龙头指数(LOF)A,2026-01-29,1.1407,1.1407,-0.68,-0.17,4.01,-3.21,13.51,38.42,92.17,42.23,4.16,14.07,32.4393,0.12,0,2026-01-30 11:46:42
62217,5025,018121,万家北证50成份指数发起式C,2026-01-29,1.5691,1.5691,-1.61,0.34,4.99,-2.33,3.71,38.42,62.28,,6.11,56.91,36.9197,0.0,0,2026-01-30 11:46:42
62218,5026,021173,华安北证50成份指数发起式C,2026-01-29,2.0719,2.0719,-1.61,0.32,5.05,-2.61,3.32,38.42,,,6.16,107.19,36.9308,0.0,0,2026-01-30 11:46:42
62219,5027,000974,安信消费医药股票A,2026-01-29,1.4631,1.5228,-1.06,1.67,5.95,2.74,9.09,38.41,48.39,6.02,7.18,52.47,38.8931,0.15,0,2026-01-30 11:46:42
62220,5028,002079,前海开源中国稀缺资产混合C,2026-01-29,2.119,2.119,2.02,9.74,17.14,18.05,35.05,38.41,42.6,-5.11,16.17,111.9,40.2383,0.15,0,2026-01-30 11:46:42
62221,5029,008576,财通碳中和一年持有混合A,2026-01-29,1.3685,1.3685,-0.97,0.94,7.92,-0.04,31.88,38.41,97.13,,8.81,36.85,45.4458,0.15,0,2026-01-30 11:46:42
62222,5030,006532,华泰柏瑞量化阿尔法C,2026-01-29,1.9174,1.9174,-0.5,-1.62,8.6,10.24,24.1,38.4,61.86,32.64,8.88,134.75,39.8847,0.0,0,2026-01-30 11:46:42
62223,5031,012427,南方价值臻选混合C,2026-01-29,1.237,1.237,-1.12,0.3,7.72,8.71,24.79,38.4,55.46,30.95,7.48,23.7,39.9163,0.0,0,2026-01-30 11:46:42
62224,5032,001980,中欧量化驱动混合A,2026-01-29,1.5894,1.8894,-0.67,0.68,8.46,8.25,20.29,38.39,67.2,25.68,8.87,98.67,38.9214,0.15,0,2026-01-30 11:46:42
62225,5033,519066,汇添富蓝筹稳健混合A,2026-01-29,3.389,4.718,-0.56,1.83,6.41,6.71,33.01,38.38,49.76,12.7,6.44,580.57,40.0992,0.15,0,2026-01-30 11:46:42
62226,5034,006483,广发可转债债券C,2026-01-29,2.1653,2.1653,-1.08,0.53,9.98,9.8,25.99,38.38,57.51,34.48,9.92,116.51,37.9611,0.0,0,2026-01-30 11:46:42
62227,5035,009801,长盛制造精选混合C,2026-01-29,1.4064,1.4064,-1.74,-0.76,7.94,3.92,18.46,38.38,72.76,27.62,7.58,40.64,39.4132,0.0,0,2026-01-30 11:46:42
62228,5036,007317,交银可转债债券C,2026-01-29,1.8919,1.8919,-0.47,-0.07,8.52,9.09,21.74,38.37,57.11,34.97,8.16,89.19,37.8333,0.0,0,2026-01-30 11:46:42
62229,5037,016998,创金合信产业臻选平衡混合C,2026-01-29,1.0335,1.0335,-0.09,3.17,9.54,7.29,18.9,38.37,39.91,,9.39,3.35,36.8874,0.0,0,2026-01-30 11:46:42
62230,5038,007046,方正富邦创新动力混合C,2026-01-29,0.7033,0.7033,-0.27,1.19,20.35,21.22,26.47,38.36,45.16,-11.42,15.39,-29.67,32.6481,0.0,0,2026-01-30 11:46:42
62231,5039,021691,招商资管北证50成份指数发起C,2026-01-29,1.1709,1.1709,-1.6,0.27,4.78,-2.51,3.64,38.36,,,5.9,17.09,36.8513,0.0,0,2026-01-30 11:46:42
62232,5040,005114,平安沪深300指数量化C,2026-01-29,1.6504,1.6504,0.21,1.69,6.01,4.99,21.89,38.34,63.96,28.19,5.97,65.04,39.4037,0.0,0,2026-01-30 11:46:42
62233,5041,015364,汇丰晋信价值先锋股票C,2026-01-29,2.3584,2.7584,-0.64,-1.37,7.2,3.23,20.46,38.34,53.78,26.46,7.37,32.07,37.196,0.0,0,2026-01-30 11:46:42
62234,5042,011518,嘉实价值臻选混合A,2026-01-29,1.1683,1.1683,1.02,7.03,14.47,14.92,29.77,38.34,63.58,29.91,14.37,16.83,40.8099,0.15,0,2026-01-30 11:46:42
62235,5043,011352,金鹰年年邮益一年持有混合C,2026-01-29,1.2423,1.3023,-1.62,2.03,16.55,15.69,31.32,38.33,43.14,20.61,16.17,31.34,36.4865,0.0,0,2026-01-30 11:46:42
62236,5044,015032,国联医药消费混合A,2026-01-29,0.9632,0.9632,1.04,-0.51,0.6,-4.98,-12.26,38.33,29.95,-9.32,1.99,-3.68,39.3115,0.15,0,2026-01-30 11:46:42
62237,5045,240012,华宝增强收益债券A,2026-01-29,1.9101,2.2901,-1.03,0.51,9.81,12.04,20.33,38.31,65.09,39.4,9.79,157.02,37.7145,0.08,0,2026-01-30 11:46:42
62238,5046,005669,前海开源公用事业股票,2026-01-29,3.3535,3.3535,-0.56,-1.11,4.22,-2.05,16.49,38.31,53.58,16.01,5.04,235.35,38.0041,0.15,0,2026-01-30 11:46:42
62239,5047,011867,广发价值增长混合C,2026-01-29,1.2087,1.2087,0.5,5.26,13.12,15.27,31.71,38.31,50.37,22.85,11.56,20.87,38.4695,0.0,0,2026-01-30 11:46:42
62240,5048,011874,博时先进制造混合A,2026-01-29,1.0087,1.0087,-0.88,-0.8,5.94,8.11,27.54,38.31,57.17,23.81,6.71,0.87,38.9203,0.15,0,2026-01-30 11:46:42
62241,5049,000977,长城环保主题混合A,2026-01-29,2.6545,2.6545,-2.37,-2.89,3.2,1.24,32.02,38.3,56.18,-0.23,4.13,165.45,36.5413,0.15,0,2026-01-30 11:46:42
62242,5050,014568,华夏聚盛优选一年持有混合(FOF)A,2026-01-27,0.997,0.997,0.26,3.74,9.27,10.02,27.15,38.3,29.51,2.52,10.21,-0.3,,0.1,0,2026-01-30 11:46:42
62243,5051,013084,中信保诚中证智能家居指数(LOF)C,2026-01-29,1.313,1.313,-1.66,-1.5,6.87,4.33,27.97,38.3,104.93,74.69,6.02,34.4,37.0993,0.0,0,2026-01-30 11:46:42
62244,5052,011411,中信建投量化进取C,2026-01-29,1.1839,1.1839,-0.62,0.03,8.42,5.62,19.21,38.29,48.06,30.26,8.27,18.39,38.2092,0.0,0,2026-01-30 11:46:42
62245,5053,021027,太平医疗创新混合发起式A,2026-01-29,1.3201,1.3201,-0.38,-1.51,2.89,-3.77,-10.86,38.29,,,4.35,32.01,37.8407,0.15,0,2026-01-30 11:46:42
62246,5054,003152,华富天鑫灵活配置混合A,2026-01-29,1.7786,2.1786,-2.26,-5.62,9.06,13.45,33.82,38.28,73.7,22.15,7.79,130.1,37.656,0.15,0,2026-01-30 11:46:42
62247,5055,014141,大成新能源混合发起式A,2026-01-29,1.2579,1.2579,-1.46,-1.39,3.43,-0.97,29.63,38.28,62.27,18.89,3.33,25.79,40.7992,0.15,0,2026-01-30 11:46:42
62248,5056,018522,信澳颐远养老目标2055五年持有期混合型发起式(FOF),2026-01-27,1.4225,1.4225,1.07,2.64,7.84,6.35,22.92,38.28,50.15,,8.0,42.25,,0.12,0,2026-01-30 11:46:42
62249,5057,019973,海富通产业优选混合C,2026-01-29,1.4889,1.4889,-0.35,1.39,8.14,3.22,17.85,38.28,50.62,,8.04,48.89,37.2638,0.0,0,2026-01-30 11:46:42
62250,5058,011681,汇添富均衡精选六个月持有混合A,2026-01-29,1.2475,1.2475,-0.48,-0.23,7.03,4.22,15.08,38.26,81.38,37.07,6.94,24.75,36.7873,0.15,0,2026-01-30 11:46:42
62251,5059,009152,南方瑞盛三年混合A,2026-01-29,1.1453,1.1453,-0.92,1.06,9.23,8.81,23.27,38.24,66.95,23.79,9.67,14.53,39.6367,0.15,0,2026-01-30 11:46:42
62252,5060,012428,华夏核心制造混合A,2026-01-29,1.2126,1.2126,-1.9,-0.89,3.83,-8.48,17.44,38.24,74.9,27.91,3.52,21.26,34.6735,0.15,0,2026-01-30 11:46:42
62253,5061,015752,景顺长城核心招景混合C,2026-01-29,0.9118,0.9118,-0.36,5.65,14.74,10.39,23.72,38.24,57.75,20.91,15.39,26.96,37.051,0.0,0,2026-01-30 11:46:42
62254,5062,002984,广发中证环保ETF联接C,2026-01-29,0.9433,0.9433,-0.98,-0.14,1.88,-1.49,28.76,38.23,45.98,-9.81,3.1,25.54,39.1093,0.0,0,2026-01-30 11:46:42
62255,5063,290010,泰信中证200指数,2026-01-29,1.526,1.546,-0.07,0.66,8.23,5.31,23.66,38.22,61.82,27.7,7.84,55.66,37.85,0.12,0,2026-01-30 11:46:42
62256,5064,017882,工银精选回报混合C,2026-01-29,1.6191,1.6191,0.56,0.64,8.88,10.4,27.39,38.22,62.28,,8.16,61.91,37.5032,0.0,0,2026-01-30 11:46:42
62257,5065,012448,华夏互联网龙头混合C,2026-01-29,1.0963,1.0963,0.35,0.64,13.1,4.87,22.51,38.21,67.66,14.89,12.37,9.63,36.5425,0.0,0,2026-01-30 11:46:42
62258,5066,014701,中欧量化动能混合A,2026-01-29,1.2132,1.2132,-0.47,0.18,9.46,9.94,23.28,38.21,61.85,25.47,9.6,21.32,38.8895,0.15,0,2026-01-30 11:46:42
62259,5067,020904,广发中证工程机械ETF发起式联接C,2026-01-29,1.5256,1.5256,-0.87,-0.65,7.18,11.66,19.88,38.21,,,6.23,52.56,40.738,0.0,0,2026-01-30 11:46:42
62260,5068,007571,南方上证380ETF联接C,2026-01-29,2.4849,2.4849,-0.77,1.53,11.96,10.66,23.99,38.2,55.37,29.29,11.58,88.87,39.0854,0.0,0,2026-01-30 11:46:42
62261,5069,010375,国金鑫悦经济新动能A,2026-01-29,1.1512,1.1512,-2.7,1.36,19.25,19.07,39.73,38.2,80.52,23.04,19.25,15.12,38.2325,0.15,0,2026-01-30 11:46:42
62262,5070,040005,华安宏利混合A,2026-01-29,6.8608,7.4808,-1.39,5.26,14.13,10.1,29.29,38.19,27.95,-4.79,13.81,771.79,34.6417,0.15,0,2026-01-30 11:46:42
62263,5071,016516,申万菱信智能生活量化选股混合型发起式C,2026-01-29,1.6099,1.6099,-0.48,-1.42,8.24,5.69,14.15,38.19,74.57,,7.46,60.99,36.8381,0.0,0,2026-01-30 11:46:42
62264,5072,014404,中欧多元价值三年持有混合A,2026-01-29,1.1043,1.1043,0.34,-0.44,-0.62,-1.72,10.95,38.18,78.06,8.39,-0.5,10.43,40.0685,0.15,0,2026-01-30 11:46:42
62265,5073,012754,鹏华内地低碳联接A,2026-01-29,0.8453,0.8453,-0.73,-0.2,1.09,-3.57,28.52,38.17,49.96,-5.37,2.41,-15.47,39.3045,0.1,0,2026-01-30 11:46:42
62266,5074,014300,宏利先进制造股票C,2026-01-29,1.1842,1.1842,-4.27,-4.09,10.17,4.25,36.59,38.16,94.87,30.29,9.41,18.42,41.2452,0.0,0,2026-01-30 11:46:42
62267,5075,014652,大成专精特新混合C,2026-01-29,0.9822,0.9822,-3.72,-3.18,15.04,11.8,24.2,38.16,31.84,-0.22,15.55,-1.78,37.8526,0.0,0,2026-01-30 11:46:42
62268,5076,009990,华泰柏瑞品质优选A,2026-01-29,0.9796,0.9796,-1.19,4.17,17.19,15.81,28.34,38.15,68.14,21.93,16.72,-2.04,38.9306,0.15,0,2026-01-30 11:46:42
62269,5077,012839,东方红智华三年持有混合A,2026-01-29,1.0372,1.0372,-0.33,1.03,8.43,7.87,22.34,38.15,69.87,26.1,8.76,3.72,38.1092,1.5,0,2026-01-30 11:46:42
62270,5078,015685,鹏华中证环保产业指数(LOF)C,2026-01-29,0.9995,0.9995,-1.0,-0.17,1.77,-1.81,28.09,38.15,47.2,-8.72,3.04,-0.05,39.0319,0.0,0,2026-01-30 11:46:42
62271,5079,018236,光大保德信景气先锋混合C,2026-01-29,2.2644,2.2644,-1.62,-2.31,11.77,6.16,26.62,38.15,97.25,,9.8,20.63,31.1403,0.0,0,2026-01-30 11:46:42
62272,5080,501302,南方恒指ETF联接(LOF)A,2026-01-29,1.3076,1.3076,0.61,4.63,7.82,4.57,8.33,38.14,80.16,41.45,8.09,30.76,35.2363,0.12,0,2026-01-30 11:46:42
62273,5081,016091,汇泉匠心智选一年持有混合A,2026-01-29,1.2411,1.2411,-0.62,0.22,6.53,4.67,21.88,38.13,60.04,19.19,6.87,24.11,38.562,0.15,0,2026-01-30 11:46:42
62274,5082,009153,南方瑞盛三年混合C,2026-01-29,1.1388,1.1388,-0.91,1.06,9.23,8.78,23.22,38.12,66.64,23.43,9.67,13.88,39.5075,0.0,0,2026-01-30 11:46:42
62275,5083,013775,易方达趋势优选混合C,2026-01-29,1.0385,1.0385,-3.4,-3.66,-1.47,-5.41,23.26,38.12,64.79,16.69,0.54,3.85,40.1106,0.0,0,2026-01-30 11:46:42
62276,5084,014709,天弘臻选健康混合C,2026-01-29,1.2279,1.2279,-0.12,-2.89,4.6,-3.85,-4.14,38.12,36.97,3.34,6.01,22.79,37.6261,0.0,0,2026-01-30 11:46:42
